sample_id	Bacteroides	Faecalibacterium	Bifidobacterium	Lactobacillus	Roseburia	Prevotella	Akkermansia	Blautia
S01_B	120	80	10	4	20	5	3	25
S01_A	95	100	18	12	25	4	4	27
S02_B	110	75	12	3	18	6	2	22
S02_A	90	92	20	14	24	5	3	24
S03_B	130	70	8	2	15	10	2	20
S03_A	105	85	13	10	20	9	3	21
S04_B	100	90	9	4	22	8	3	28
S04_A	80	105	19	15	26	7	4	30
S05_B	115	85	11	5	21	6	2	26
S05_A	92	103	22	16	27	5	3	29
S06_B	125	65	7	3	16	12	2	18
S06_A	118	70	8	4	17	18	2	19
S07_B	105	95	10	4	24	7	3	25
S07_A	100	85	12	5	23	20	4	23
S08_B	118	78	9	3	19	9	2	24
S08_A	112	72	9	3	20	21	3	23
